photo,type,label
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/a897b7de857f814d86e61adde98b7e1e9663b9e9.jpg,ป้าย,sign
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/48a0d650ac3b0509a3f996b235a701bfcc388a69.jpg,สัตว์จรจัด,Rat
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/13dcb46712cbc0d75047418e4796aae6fb67750c.jpg,ท่อระบายน้ำ,Drain
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/f249809f31eadbfdfbc5764a9db6d5fc4feb5dbe.jpg,"ความสะอาด,สอบถาม,สัตว์จรจัด","Cleanliness, inquiries, organized animals"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ba97b45e27e1af743c0fb0a7f92a97b59aac25fb.jpg,ท่อระบายน้ำ,Drain
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/f49c4beb8033ba78f11d6b98df69af2cc1574a94.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/e4f0b552ceb6d49f3d2062f0310a51c19eefb3df.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9d9b5c3f225fe6a469bd9acbf504136d9dfea6f5.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/6d0791962f074b0d2ad7ea89667933f8be3b554f.jpg,"ถนน,ท่อระบายน้ำ","Road, drain"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4952bac6f98ab20b2ab1deaebf7f4be248f7ef80.jpg,สายไฟ,wire
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/13c564b885b22d02b64a312233ecfce19eace4bc.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/3bc78d6aa934c9c903f48c98ea382248c78d6f8e.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/642818abb502f563d907eb8bb0bee18bae4af984.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/053ed6ff7f8634fc47ccc9e437fdb6a06a9bcd20.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/33c20253204529aaffc73d00629537a039c91aec.jpg,"ต้นไม้,ถนน","Tree, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/65334817791604ce572b7f3355a9066f1d26857d.jpg,"ความสะอาด,ท่อระบายน้ำ","Cleanliness, drain"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/c073c29fba625853e35e21e9834b3a1dc592e08f.jpg,สะพาน,bridge
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/69d3498fbda79ca409cc23a2cbed36cab46e151b.jpg,ต้นไม้,tree
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9974c5bea486994fdd1296011be6f01f08a98aaa.jpg,"ความปลอดภัย,ต้นไม้,ทางเท้า,ความสะอาด","Safety, tree, sidewalk, cleanliness"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ae738db5d14e24bb8d6b6e6282a14819d7842b9a.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/d597444ee758557840493250af9b9346c728ae73.jpg,"ถนน,ทางเท้า","Road, sidewalk"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/b2104c14b4ca0d36aa0e93b6ea6e102140d39f52.jpg,ถนน,road
