photo,comment,comment_en,sequence_length
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/2b246ff1db6020f606cdf958862712f6475f837a.jpg,ดำเนินคดีตามกฎหมายด้วย,Proceed with legal proceedings as well,22
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/1652fbc721ff1025665998849cbd5a6d21947d40.jpg,ถนนชำรุด,Damn road,8
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/e0c7b04b2342477cacae3019e88da5e9091df61e.jpg,ฟุตบาทชำรุด,Damaged footpath,11
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/55a801a00aa30af8281e163bd249dda28bcf94b4.jpg,เนื่องจากต้นไม้ที่อยู่ระหว่างทางเดินบนสะพานโน้มกิ่งลงมาปกคลุมจำนวนมากทำให้มีอุปสรรคเวลาเดินผ่านเนื่องจากอย่างเช่นกรณีฝนตกกลางร่มเดินผ่านทำให้ตัวร่มไปเกี่ยวกับตัวต้นไม้จะรบกวนให้ช่วยมาตกแต่งกิ่งไม้ให้เรียบร้อยไม่ขวางทางเดินกรณีถ้าเป็นคนที่มีรูปร่างสูงก็จะเดินชนกับต้นไม้เนื่องจากกิ่งมันโน้มมาต่ำมาก,"Due to the trees that are on the way, the bridge leaned down to cover a lot, causing obstacles when walking through, for example, in the case of rain in the umbrella, causing the umbrella about the tree to help to decorate the branches. The wood is neat, not blocking the path. If a person with a tall shape, it will walk with the tree because the branches are very low.",297
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9086942713c01de16df4851d5dc1ed3213d93ae9.jpg,ถนนชำรุด,Damn road,8
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/63d512a62c7299343418a07b1a9bc5ec85683d60.jpg,มีคนจรจัด มานอนป้ายรถเมล์ ตรงข้าม ร้านเจ๊เล้ง,Someone came to sleep in the bus stop opposite Che Leng.,45
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/04f18fb6605f57b5f7602ff48de9aa238055d008.jpg,หลักฐานวันที่ 9 ตุลาคมใช้ระยะร่น ตากผ้าและยังไม่แก้ไขผ้าที่ชำรุดเรื่องช่องแสง ช่องเปิด.ฝ่าฝืนการใช้ส่วนต่อเติม เป็นเวลา 3-4 ปี มีความเดือดร้อน เกิดเชื้อราขึ้นตามสิ่งของเครื่องใช้มากมาย.,"Evidence on October 9, using the short distance Dry the clothes and not fix the damaged fabric about light. Opening channels. Violation of the addition of an additional part for 3-4 years. The fungus has occurred according to many appliances.",190
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/b88cac02d32156905517c386bd408140b932d109.jpg,รบกวนช่วยเก็บไห้ทีค่ะมีกลิ่นเหม็นมากน่าจะเป็นปุ๋ยมาแอบทิ้งไว้อยู่ข้างถนน,Please help to keep it. There is a very foul smell. It should be fertilizer secretly left on the side of the road.,72
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/d6374fb3e2b6854e63964ba2184e141b1af22bbe.jpg,ถนนชำรุด,Damn road,8
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/3bf5646ad9788d398af0ded25dc9933dd075e3f8.jpg,ถนนชำรุด,Damn road,8
